Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
S,16,40,12.192,1,Covered,0,85
S,16,40,12.192,2,Covered,3,82
S,16,40,12.192,3,Covered,1,77
S,17,42.5,12.954,1,Covered,1,63
S,17,42.5,12.954,2,Covered,1,78
S,17,42.5,12.954,3,Covered,0,79
S,18,45,13.716,1,Covered,1,80
S,18,45,13.716,2,Covered,0,78
S,18,45,13.716,3,Covered,0,79
S,19,47.5,14.478,1,Covered,0,69
S,19,47.5,14.478,2,Covered,0,75
S,19,47.5,14.478,3,Covered,1,77
S,20,50,15.24,1,Covered,0,67
S,20,50,15.24,2,Covered,1,69
S,20,50,15.24,3,Covered,0,62
S,21,52.5,16.002,1,Covered,0,77
S,21,52.5,16.002,2,Covered,0,79
S,21,52.5,16.002,3,Covered,0,80
S,1,2.5,0.762,1,Non-covered,30,55
S,1,2.5,0.762,2,Non-covered,55,66
S,1,2.5,0.762,3,Non-covered,45,48
S,2,5,1.524,1,Non-covered,0,74
S,2,5,1.524,2,Non-covered,0,77
S,2,5,1.524,3,Non-covered,0,76
S,3,7.5,2.286,1,Non-covered,1,74
S,3,7.5,2.286,2,Non-covered,1,80
S,3,7.5,2.286,3,Non-covered,0,79
S,4,10,3.048,1,Non-covered,2,80
S,4,10,3.048,2,Non-covered,1,79
S,4,10,3.048,3,Non-covered,2,79
S,5,12.5,3.81,1,Non-covered,1,77
S,5,12.5,3.81,2,Non-covered,1,82
S,5,12.5,3.81,3,Non-covered,4,74
S,6,15,4.572,1,Non-covered,0,82
S,6,15,4.572,2,Non-covered,0,74
S,6,15,4.572,3,Non-covered,0,78
S,7,17.5,5.334,1,Non-covered,1,76
S,7,17.5,5.334,2,Non-covered,1,77
S,7,17.5,5.334,3,Non-covered,0,76
S,8,20,6.096,1,Non-covered,0,77
S,8,20,6.096,2,Non-covered,1,78
S,8,20,6.096,3,Non-covered,1,70
S,9,22.5,6.858,1,Non-covered,2,70
S,9,22.5,6.858,2,Non-covered,1,69
S,9,22.5,6.858,3,Non-covered,0,72
S,10,25,7.62,1,Non-covered,0,77
S,10,25,7.62,2,Non-covered,0,73
S,10,25,7.62,3,Non-covered,0,75
S,11,27.5,8.382,1,Non-covered,0,77
S,11,27.5,8.382,2,Non-covered,0,62
S,11,27.5,8.382,3,Non-covered,0,76
S,12,30,9.144,1,Non-covered,0,72
S,12,30,9.144,2,Non-covered,0,76
S,12,30,9.144,3,Non-covered,0,79
S,13,32.5,9.906,1,Non-covered,0,74
S,13,32.5,9.906,2,Non-covered,1,68
S,13,32.5,9.906,3,Non-covered,0,71
S,14,35,10.668,1,Non-covered,0,75
S,14,35,10.668,2,Non-covered,0,71
S,14,35,10.668,3,Non-covered,0,76
S,15,37.5,11.43,1,Non-covered,0,73
S,15,37.5,11.43,2,Non-covered,0,75
S,15,37.5,11.43,3,Non-covered,0,71
S,16,40,12.192,1,Non-covered,0,75
S,16,40,12.192,2,Non-covered,0,72
S,16,40,12.192,3,Non-covered,0,71
S,17,42.5,12.954,1,Non-covered,0,60
S,17,42.5,12.954,2,Non-covered,1,62
S,17,42.5,12.954,3,Non-covered,3,74
S,18,45,13.716,1,Non-covered,1,71
S,18,45,13.716,2,Non-covered,0,71
S,18,45,13.716,3,Non-covered,0,73
S,19,47.5,14.478,1,Non-covered,1,76
S,19,47.5,14.478,2,Non-covered,0,78
S,19,47.5,14.478,3,Non-covered,1,76
S,20,50,15.24,1,Non-covered,1,74
S,20,50,15.24,2,Non-covered,0,77
S,20,50,15.24,3,Non-covered,0,76
S,21,52.5,16.002,1,Non-covered,0,71
S,21,52.5,16.002,2,Non-covered,0,55
S,21,52.5,16.002,3,Non-covered,0,56
S,25,62.5,19.05,1,Non-covered,0,76
S,25,62.5,19.05,2,Non-covered,0,70
S,25,62.5,19.05,3,Non-covered,0,68
S,30,75,22.86,1,Non-covered,0,72
